,Open,High,Low,Close,Volume,Time,Date
3701302,3624.06,3625.39,3624.06,3625.39,2.92518935,04:06:00,2019-01-18
3701303,3625.39,3625.4,3625.38,3625.4,0.25670315,04:07:00,2019-01-18
3701306,3625.4,3626.15,3625.4,3626.15,0.86055195,04:10:00,2019-01-18
3701307,3626.17,3626.26,3626.07,3626.26,0.09446511,04:11:00,2019-01-18
3701308,3626.34,3626.34,3626.34,3626.34,0.36493226,04:12:00,2019-01-18
3701309,3626.05,3626.57,3625.99,3626.57,1.92442433,04:13:00,2019-01-18
3701310,3626.78,3626.78,3625.4,3625.4,12.33503266,04:14:00,2019-01-18
3701311,3625.48,3626.73,3625.29,3625.29,6.98079714,04:15:00,2019-01-18
3701313,3625.66,3625.66,3622.83,3625.19,10.83161035,04:17:00,2019-01-18
3701314,3624.01,3624.88,3624.01,3624.79,0.30061432,04:18:00,2019-01-18
3701315,3624.61,3625.14,3624.49,3625.14,0.05069228,04:19:00,2019-01-18
3701316,3624.54,3625.53,3624.54,3625.53,0.49523511,04:20:00,2019-01-18
3701317,3625.11,3625.44,3625.11,3625.44,1.19808466,04:21:00,2019-01-18
3701318,3624.86,3625.18,3624.86,3625.18,5.45565629,04:22:00,2019-01-18
3701319,3624.79,3624.79,3624.79,3624.79,1.85186206,04:23:00,2019-01-18
3701320,3624.79,3625.25,3624.79,3625.25,1.85195932,04:24:00,2019-01-18
3701321,3625.39,3627.82,3625.36,3627.82,2.94772799,04:25:00,2019-01-18
3701322,3625.34,3628.37,3625.34,3628.37,3.90358551,04:26:00,2019-01-18
3701323,3624.77,3626.41,3624.77,3625.56,0.40240473,04:27:00,2019-01-18
3701324,3625.63,3625.65,3625.63,3625.65,0.009594,04:28:00,2019-01-18
3701326,3625.08,3625.46,3624.52,3625.46,0.16354905,04:30:00,2019-01-18
3701327,3625.63,3627.9,3625.63,3627.9,10.20389702,04:31:00,2019-01-18
3701328,3627.18,3627.18,3627.08,3627.08,0.55582503,04:32:00,2019-01-18
3701329,3623.68,3623.68,3622.3,3622.3,2.0,04:33:00,2019-01-18
3701330,3625.18,3625.18,3625.18,3625.18,0.014722999999999998,04:34:00,2019-01-18
3701331,3623.54,3623.54,3622.1,3623.11,0.80352965,04:35:00,2019-01-18
3701332,3623.5,3623.54,3622.04,3622.04,2.18622653,04:36:00,2019-01-18
3701333,3620.42,3620.71,3619.19,3619.19,2.43710451,04:37:00,2019-01-18
3701334,3619.18,3619.18,3616.69,3618.19,6.13219682,04:38:00,2019-01-18
3701335,3618.69,3622.59,3618.69,3620.73,8.58849816,04:39:00,2019-01-18
3701336,3620.0,3621.29,3618.91,3621.29,21.71100208,04:40:00,2019-01-18
3701337,3622.19,3623.99,3622.09,3622.09,0.94584528,04:41:00,2019-01-18
3701338,3619.47,3619.47,3619.47,3619.47,0.40249955,04:42:00,2019-01-18
3701339,3619.46,3619.46,3614.39,3615.5,2.85934025,04:43:00,2019-01-18
3701340,3614.42,3616.87,3611.16,3616.0,13.9890076,04:44:00,2019-01-18
3701341,3615.7,3616.0,3615.64,3616.0,3.64270092,04:45:00,2019-01-18
3701342,3616.12,3619.8,3616.12,3619.8,0.470314,04:46:00,2019-01-18
3701343,3618.0,3619.96,3618.0,3619.96,1.45386024,04:47:00,2019-01-18
3701344,3618.41,3618.41,3617.67,3617.67,0.19673659,04:48:00,2019-01-18
3701345,3615.03,3615.03,3615.03,3615.03,1.0,04:49:00,2019-01-18
3701347,3616.4,3616.4,3615.67,3615.67,1.01361096,04:51:00,2019-01-18
3701348,3615.6,3615.6,3615.29,3615.29,0.05144829,04:52:00,2019-01-18
3701349,3616.96,3616.96,3612.8,3612.8,19.3890098,04:53:00,2019-01-18
3701350,3612.91,3618.99,3612.73,3618.99,3.51765214,04:54:00,2019-01-18
3701351,3614.45,3617.1,3614.45,3617.1,2.63459675,04:55:00,2019-01-18
3701352,3615.77,3615.77,3615.77,3615.77,0.82291377,04:56:00,2019-01-18
3701353,3615.82,3615.82,3615.82,3615.82,0.12393019999999999,04:57:00,2019-01-18
3701355,3615.5,3615.5,3615.5,3615.5,0.01654935,04:59:00,2019-01-18
3701356,3614.1,3614.1,3614.1,3614.1,0.56385744,05:00:00,2019-01-18
3701357,3615.93,3617.62,3615.93,3617.62,0.96227346,05:01:00,2019-01-18
3701358,3617.52,3619.53,3617.06,3619.53,0.37459786,05:02:00,2019-01-18
3701359,3618.48,3618.48,3618.48,3618.48,1.0,05:03:00,2019-01-18
3701360,3620.43,3620.43,3619.75,3619.75,0.069,05:04:00,2019-01-18
3701361,3619.62,3620.65,3619.62,3620.65,0.58558013,05:05:00,2019-01-18
3701363,3621.09,3621.09,3621.09,3621.09,0.04212548,05:07:00,2019-01-18
3701364,3621.42,3621.42,3621.42,3621.42,1.47889045,05:08:00,2019-01-18
3701365,3620.92,3620.92,3620.92,3620.92,0.03069978,05:09:00,2019-01-18
3701366,3619.36,3620.49,3619.36,3619.55,1.98636482,05:10:00,2019-01-18
3701368,3619.94,3619.94,3619.94,3619.94,0.56,05:12:00,2019-01-18
3701370,3619.86,3619.86,3619.86,3619.86,0.00521237,05:14:00,2019-01-18
3701371,3619.95,3619.95,3619.95,3619.95,0.15052338,05:15:00,2019-01-18
3701372,3618.71,3619.45,3618.71,3619.45,0.03207384,05:16:00,2019-01-18
3701373,3618.71,3618.71,3618.71,3618.71,0.05387358,05:17:00,2019-01-18
3701374,3619.09,3619.09,3619.09,3619.09,0.11058241,05:18:00,2019-01-18
3701376,3618.7,3618.7,3618.7,3618.7,1.18077468,05:20:00,2019-01-18
3701377,3619.19,3619.6,3619.08,3619.08,3.66252595,05:21:00,2019-01-18
3701379,3619.5,3619.5,3619.5,3619.5,0.5,05:23:00,2019-01-18
3701380,3619.82,3621.63,3619.82,3621.63,5.029237999999999,05:24:00,2019-01-18
3701381,3619.96,3620.47,3619.95,3620.47,0.58631941,05:25:00,2019-01-18
3701382,3619.3,3619.3,3619.02,3619.02,1.45940069,05:26:00,2019-01-18
3701383,3619.18,3619.18,3617.19,3617.19,5.507159,05:27:00,2019-01-18
3701384,3617.93,3617.93,3617.19,3617.19,5.02849224,05:28:00,2019-01-18
3701385,3617.93,3618.17,3617.93,3618.17,0.51440511,05:29:00,2019-01-18
