,Open,High,Low,Close,Volume,Time,Date
3755340,3741.14,3750.03,3741.0,3747.5,21.53759846,16:44:00,2019-02-24
3755341,3747.5,3750.0,3742.2,3744.37,27.586288399999997,16:45:00,2019-02-24
3755342,3745.45,3753.22,3745.45,3751.18,36.63816351,16:46:00,2019-02-24
3755343,3751.12,3765.24,3744.72,3762.57,40.39884315,16:47:00,2019-02-24
3755344,3763.55,3763.67,3756.0,3758.55,33.74537136,16:48:00,2019-02-24
3755345,3758.45,3760.52,3754.55,3758.81,19.91008247,16:49:00,2019-02-24
3755346,3758.81,3758.81,3751.04,3752.28,27.46083067,16:50:00,2019-02-24
3755347,3751.65,3753.72,3750.0,3750.04,2.29252658,16:51:00,2019-02-24
3755348,3750.0,3751.82,3749.67,3751.15,18.32453772,16:52:00,2019-02-24
3755349,3751.81,3752.43,3750.0,3752.43,19.32032292,16:53:00,2019-02-24
3755350,3752.43,3755.88,3752.43,3752.82,1.67987879,16:54:00,2019-02-24
3755351,3752.46,3755.83,3752.12,3755.83,17.63270421,16:55:00,2019-02-24
3755352,3759.01,3759.01,3756.41,3758.44,8.50335173,16:56:00,2019-02-24
3755353,3757.87,3759.16,3757.87,3759.16,4.88679296,16:57:00,2019-02-24
3755354,3759.16,3759.16,3756.01,3757.46,1.48046837,16:58:00,2019-02-24
3755355,3756.98,3758.24,3756.98,3757.42,12.57650974,16:59:00,2019-02-24
3755356,3757.43,3760.0,3757.43,3757.43,5.92311519,17:00:00,2019-02-24
3755357,3757.43,3757.43,3753.99,3755.89,7.46721966,17:01:00,2019-02-24
3755358,3756.82,3756.82,3753.97,3753.97,0.99968756,17:02:00,2019-02-24
3755359,3754.73,3756.12,3751.54,3756.12,7.3635772,17:03:00,2019-02-24
3755360,3755.41,3755.41,3750.43,3755.16,13.764488,17:04:00,2019-02-24
3755361,3755.83,3755.83,3755.82,3755.82,0.03218811,17:05:00,2019-02-24
3755362,3756.76,3756.76,3754.59,3754.59,8.74812242,17:06:00,2019-02-24
3755363,3756.08,3758.36,3756.08,3757.44,12.43985147,17:07:00,2019-02-24
3755364,3758.6,3758.6,3756.59,3756.59,9.455987400000001,17:08:00,2019-02-24
3755365,3756.59,3757.53,3753.62,3756.11,4.11582557,17:09:00,2019-02-24
3755366,3756.02,3756.02,3752.0,3752.0,3.00688988,17:10:00,2019-02-24
3755367,3750.95,3752.68,3749.43,3752.68,11.63797495,17:11:00,2019-02-24
3755368,3752.67,3752.67,3748.62,3748.62,7.56012051,17:12:00,2019-02-24
3755369,3750.2,3751.14,3750.0,3750.0,4.69090909,17:13:00,2019-02-24
3755370,3750.35,3752.41,3750.35,3752.41,5.11461386,17:14:00,2019-02-24
3755371,3751.95,3752.88,3751.95,3752.28,0.35218499999999997,17:15:00,2019-02-24
3755372,3753.16,3756.37,3753.16,3756.37,28.30451407,17:16:00,2019-02-24
3755373,3756.55,3759.51,3755.8,3758.51,9.24980401,17:17:00,2019-02-24
3755374,3758.55,3765.0,3758.55,3762.24,31.75836847,17:18:00,2019-02-24
3755375,3760.62,3765.38,3760.0,3761.5,6.01077381,17:19:00,2019-02-24
3755376,3759.61,3762.4,3759.1,3759.83,3.46869885,17:20:00,2019-02-24
3755377,3758.86,3762.98,3758.86,3762.98,5.64139754,17:21:00,2019-02-24
3755378,3762.97,3768.0,3762.71,3768.0,15.97097181,17:22:00,2019-02-24
3755379,3768.16,3769.42,3764.88,3767.22,5.31705493,17:23:00,2019-02-24
3755380,3767.85,3769.36,3766.88,3769.01,1.02669982,17:24:00,2019-02-24
3755381,3769.68,3772.48,3769.4,3770.0,49.9559835,17:25:00,2019-02-24
3755382,3769.93,3771.88,3769.93,3771.52,15.60734943,17:26:00,2019-02-24
3755383,3770.39,3773.63,3770.39,3770.81,16.68664857,17:27:00,2019-02-24
3755384,3771.5,3773.09,3771.44,3772.12,4.49407965,17:28:00,2019-02-24
3755385,3772.32,3772.32,3767.39,3770.0,6.47168977,17:29:00,2019-02-24
3755386,3770.0,3770.0,3769.64,3770.0,9.97192653,17:30:00,2019-02-24
3755387,3770.0,3773.11,3770.0,3773.11,4.83461584,17:31:00,2019-02-24
3755388,3772.2,3772.2,3772.19,3772.19,1.22533527,17:32:00,2019-02-24
3755389,3772.2,3775.61,3772.2,3775.61,4.831565,17:33:00,2019-02-24
3755390,3775.61,3782.87,3775.61,3780.25,15.60592908,17:34:00,2019-02-24
3755391,3780.48,3781.34,3780.48,3780.55,5.84037615,17:35:00,2019-02-24
3755392,3780.34,3780.34,3774.31,3774.31,6.96537561,17:36:00,2019-02-24
3755393,3778.16,3779.58,3777.96,3778.49,1.7543002,17:37:00,2019-02-24
3755394,3779.5,3779.51,3778.29,3779.19,1.89581024,17:38:00,2019-02-24
3755395,3779.19,3779.19,3779.18,3779.18,1.7559103999999999,17:39:00,2019-02-24
3755396,3776.58,3776.58,3773.58,3773.58,0.80663292,17:40:00,2019-02-24
3755397,3771.99,3771.99,3769.15,3770.29,1.96733408,17:41:00,2019-02-24
3755398,3770.28,3773.46,3770.28,3773.36,2.40599049,17:42:00,2019-02-24
3755399,3771.47,3773.46,3770.25,3773.46,7.40544889,17:43:00,2019-02-24
3755400,3772.69,3772.69,3772.69,3772.69,0.0035,17:44:00,2019-02-24
3755401,3774.01,3776.51,3774.01,3776.51,2.23421396,17:45:00,2019-02-24
3755402,3774.9,3776.4,3774.78,3774.91,50.012643100000005,17:46:00,2019-02-24
3755403,3774.91,3775.0,3771.8,3771.8,10.48670994,17:47:00,2019-02-24
3755404,3771.8,3771.8,3770.74,3770.74,0.517031,17:48:00,2019-02-24
3755405,3773.87,3775.0,3773.87,3774.99,8.56644672,17:49:00,2019-02-24
3755406,3774.18,3775.0,3770.98,3772.54,13.033352,17:50:00,2019-02-24
3755407,3769.32,3770.99,3769.32,3770.99,7.72218736,17:51:00,2019-02-24
3755408,3770.4,3771.78,3770.4,3770.6,1.66696172,17:52:00,2019-02-24
3755409,3770.32,3770.43,3769.94,3770.43,4.58696659,17:53:00,2019-02-24
3755410,3769.79,3769.79,3765.0,3765.0,1.60463806,17:54:00,2019-02-24
3755411,3764.64,3764.64,3760.3,3760.3,0.99712052,17:55:00,2019-02-24
3755412,3760.0,3761.09,3752.44,3757.32,12.24894153,17:56:00,2019-02-24
3755413,3759.08,3762.43,3758.63,3762.43,3.36721467,17:57:00,2019-02-24
3755414,3760.93,3760.93,3760.93,3760.93,0.0035659999999999997,17:58:00,2019-02-24
3755415,3761.4,3763.22,3761.4,3762.77,2.86822597,17:59:00,2019-02-24
3755416,3762.78,3762.86,3758.21,3758.21,4.06016621,18:00:00,2019-02-24
3755417,3757.5,3757.5,3754.5,3755.36,6.36079572,18:01:00,2019-02-24
3755418,3755.74,3755.74,3755.74,3755.74,0.18807646,18:02:00,2019-02-24
3755419,3757.51,3757.51,3757.51,3757.51,0.42,18:03:00,2019-02-24
3755420,3756.8,3759.41,3755.67,3759.02,3.30553849,18:04:00,2019-02-24
3755421,3756.38,3758.32,3756.38,3758.32,0.37349836,18:05:00,2019-02-24
3755422,3756.78,3761.0,3756.78,3760.51,0.66566875,18:06:00,2019-02-24
3755423,3761.51,3761.51,3761.51,3761.51,0.27674415,18:07:00,2019-02-24
3755424,3761.88,3761.88,3761.05,3761.05,1.72428136,18:08:00,2019-02-24
3755425,3761.38,3761.38,3759.44,3759.44,3.0,18:09:00,2019-02-24
3755426,3758.53,3758.77,3757.06,3758.77,1.29858787,18:10:00,2019-02-24
